,Coordinates
192,"(33.227817000000016, -101.81949399999999)"
193,"(33.227817000000016, -101.57425579999999)"
194,"(33.227817000000016, -101.32901759999999)"
195,"(33.227817000000016, -101.08377939999998)"
196,"(33.227817000000016, -100.83854119999998)"
197,"(33.227817000000016, -100.59330299999998)"
198,"(33.227817000000016, -100.34806479999997)"
199,"(33.227817000000016, -100.10282659999997)"
200,"(32.98257880000001, -99.85758839999997)"
201,"(32.98257880000001, -99.61235019999997)"
202,"(32.98257880000001, -99.36711199999996)"
203,"(32.98257880000001, -99.12187379999996)"
204,"(32.98257880000001, -98.87663559999996)"
205,"(32.98257880000001, -98.63139739999995)"
206,"(32.98257880000001, -98.38615919999995)"
207,"(32.98257880000001, -98.14092099999995)"
208,"(32.98257880000001, -97.89568279999995)"
209,"(32.98257880000001, -97.65044459999994)"
210,"(32.98257880000001, -97.40520639999994)"
211,"(32.98257880000001, -97.15996819999994)"
212,"(32.98257880000001, -96.91472999999993)"
213,"(32.98257880000001, -96.66949179999993)"
214,"(32.98257880000001, -96.42425359999993)"
215,"(32.98257880000001, -96.17901539999993)"
216,"(32.98257880000001, -95.93377719999992)"
217,"(32.98257880000001, -95.68853899999992)"
218,"(32.98257880000001, -95.44330079999992)"
219,"(32.98257880000001, -95.19806259999991)"
220,"(32.98257880000001, -102.0647322)"
221,"(32.98257880000001, -101.81949399999999)"
222,"(32.98257880000001, -101.57425579999999)"
223,"(32.98257880000001, -101.32901759999999)"
224,"(32.98257880000001, -101.08377939999998)"
225,"(32.98257880000001, -100.83854119999998)"
226,"(32.98257880000001, -100.59330299999998)"
227,"(32.98257880000001, -100.34806479999997)"
228,"(32.98257880000001, -100.10282659999997)"
229,"(32.73734060000001, -99.85758839999997)"
230,"(32.73734060000001, -99.61235019999997)"
231,"(32.73734060000001, -99.36711199999996)"
232,"(32.73734060000001, -99.12187379999996)"
233,"(32.73734060000001, -98.87663559999996)"
234,"(32.73734060000001, -98.63139739999995)"
235,"(32.73734060000001, -98.38615919999995)"
236,"(32.73734060000001, -98.14092099999995)"
237,"(32.73734060000001, -97.89568279999995)"
238,"(32.73734060000001, -97.65044459999994)"
239,"(32.73734060000001, -97.40520639999994)"
240,"(32.73734060000001, -97.15996819999994)"
241,"(32.73734060000001, -96.91472999999993)"
242,"(32.73734060000001, -96.66949179999993)"
243,"(32.73734060000001, -96.42425359999993)"
244,"(32.73734060000001, -96.17901539999993)"
245,"(32.73734060000001, -95.93377719999992)"
246,"(32.73734060000001, -95.68853899999992)"
247,"(32.73734060000001, -95.44330079999992)"
248,"(32.73734060000001, -95.19806259999991)"
249,"(32.73734060000001, -102.0647322)"
250,"(32.73734060000001, -101.81949399999999)"
251,"(32.73734060000001, -101.57425579999999)"
